"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"DBI","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.2",NA,"methods, R (>= 3.0.0)",NA,NA,"arrow, blob, covr, DBItest, dbplyr, downlit, dplyr, glue,
hms, knitr, magrittr, nanoarrow (>= 0.3.0.1), RMariaDB,
rmarkdown, rprojroot, RSQLite (>= 1.1-2), testthat (>= 3.0.0),
vctrs, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.2"
"dbplyr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.4.0",NA,"R (>= 3.6)","blob (>= 1.2.0), cli (>= 3.6.1), DBI (>= 1.1.3), dplyr (>=
1.1.2), glue (>= 1.6.2), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.9.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.1.1), tibble (>= 3.2.1), tidyr (>= 1.3.0),
tidyselect (>= 1.2.0), utils, vctrs (>= 0.6.3), withr (>=
2.5.0)",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc, RMariaDB (>=
1.2.2), rmarkdown, RPostgres (>= 1.4.5), RPostgreSQL, RSQLite
(>= 2.3.1), testthat (>= 3.1.10)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"DelayedArray","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.28.0",NA,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.43.4), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2),
IRanges (>= 2.17.3), S4Arrays (>= 1.1.1), SparseArray (>=
1.1.10)","stats","S4Vectors","BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.2"
"DelayedMatrixStats","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.24.0",NA,"MatrixGenerics (>= 1.13.1), DelayedArray (>= 0.27.10)","methods, sparseMatrixStats (>= 1.13.2), Matrix (>= 1.5-0),
S4Vectors (>= 0.17.5), IRanges (>= 2.25.10)",NA,"testthat, knitr, rmarkdown, BiocStyle, microbenchmark,
profmem, HDF5Array, matrixStats (>= 1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"deldir","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.0-4",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"desc","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.4.3",NA,"R (>= 3.4)","cli, R6, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"devtools","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.4.5",NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"diagram","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.6.5",NA,"R (>= 2.01), shape","stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"DiagrammeR","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.11",NA,"R (>= 3.2)","dplyr (>= 1.0.7), glue (>= 1.5.0), htmltools (>= 0.5.2),
htmlwidgets (>= 1.5), igraph (>= 1.4.0), magrittr (>= 1.5),
purrr (>= 0.3.4), RColorBrewer (>= 1.1-2), readr (>= 2.1.1),
rlang (>= 1.1.0), cli, rstudioapi (>= 0.7), scales (>= 1.1),
stringr (>= 1.4), tibble (>= 3.1), tidyr (>= 1.1), viridisLite
(>= 0.4.2), visNetwork (>= 2.1.0)",NA,"curl, DiagrammeRsvg, knitr, rmarkdown, rsvg, testthat (>=
3.1.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"DiceKriging","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.6.0",NA,"methods",NA,NA,"rgenoud (>= 5.8-2.0), foreach, doParallel, testthat, numDeriv",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"diffobj","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"digest","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.6.34",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"DirichletMultinomial","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.42.0",NA,"S4Vectors, IRanges","stats4, methods, BiocGenerics",NA,"lattice, parallel, MASS, RColorBrewer, xtable",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.3.0"
"doParallel","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.3.2"
"dotCall64","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1-1",NA,"R (>= 3.1)",NA,NA,"microbenchmark, RhpcBLASctl, RColorBrewer, roxygen2, spam,
testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"downlit","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.4.3",NA,"R (>= 3.4.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"dplyr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1.4",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.4)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"dqrng","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.3.2",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","testthat, knitr, rmarkdown, mvtnorm (>= 1.2-3), bench, sitmo",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"DT","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.31",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), httpuv, jsonlite
(>= 0.9.16), magrittr, crosstalk, jquerylib, promises",NA,"knitr (>= 1.8), rmarkdown, shiny (>= 1.6), bslib, future,
testit, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"dtplyr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.3.1",NA,"R (>= 3.3)","cli (>= 3.4.0), data.table (>= 1.13.0), dplyr (>= 1.1.0),
glue, lifecycle, rlang (>= 1.0.4), tibble, tidyselect (>=
1.2.0), vctrs (>= 0.4.1)",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.1.2), tidyr (>=
1.1.0), waldo (>= 0.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"e1071","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.7-14",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"edgeR","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","4.0.3",NA,"R (>= 3.6.0), limma (>= 3.41.5)","methods, graphics, stats, utils, locfit, Rcpp","Rcpp","jsonlite, readr, rhdf5, splines, knitr, AnnotationDbi,
Biobase, BiocStyle, SummarizedExperiment, org.Hs.eg.db, Matrix,
SeuratObject",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.3.2"
"ellipse","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.5.0",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"ellipsis","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"emoa","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.5-2",NA,NA,NA,NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.2"
"evaluate","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.23",NA,"R (>= 3.0.2)","methods",NA,"covr, ggplot2, lattice, rlang, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"expm","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.999-9",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"fansi","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.6",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"farver","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.1.1",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"fastDummies","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.7.3",NA,"R (>= 2.10)","data.table, tibble, stringr",NA,"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"fastmap","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1.1",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"fastmatch","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1-4",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.2"
"fdrtool","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.17",NA,"R (>= 3.0.2)","graphics, grDevices, stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.2"
"filelock","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.3",NA,"R (>= 3.4)",NA,NA,"callr (>= 2.0.0), covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"fitdistrplus","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1-11",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc, bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"FNN","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1.4",NA,"R (>= 4.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"fontawesome","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.5.2",NA,"R (>= 3.3.0)","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"forcats","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.0",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"foreach","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.3.0"
"foreign","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.8-85","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"formatR","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.14",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"Formula","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2-5",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.2"
"fs","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.6.3",NA,"R (>= 3.4)","methods",NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"futile.logger","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.3.2"
"futile.options","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.3.2"
"future","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.33.2",NA,NA,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.34.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.2"
"future.apply","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.11.2",NA,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"gargle","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.5.2",NA,"R (>= 3.6)","cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.5), jsonlite, lifecycle, openssl, rappdirs, rlang (>=
1.1.0), stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr,
rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"generics","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"GenomeInfoDb","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.38.2",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"GenomicRanges, Rsamtools, GenomicAlignments, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, BSgenome,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"GenomeInfoDbData","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.11",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"GenomicAlignments","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.38.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>= 1.13.1),
GenomicRanges (>= 1.41.5), SummarizedExperiment (>= 1.9.13),
Biostrings (>= 2.55.7), Rsamtools (>= 1.31.2)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.2"
"GenomicFeatures","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.54.1",NA,"R (>= 3.5.0), BiocGenerics (>= 0.1.0), S4Vectors (>= 0.17.29),
IRanges (>= 2.13.23), GenomeInfoDb (>= 1.35.8), GenomicRanges
(>= 1.31.17), AnnotationDbi (>= 1.41.4)","methods, utils, stats, tools, DBI, RSQLite (>= 2.0), RCurl,
XVector (>= 0.19.7), Biostrings (>= 2.47.6), BiocIO,
rtracklayer (>= 1.51.5), biomaRt (>= 2.17.1), Biobase (>=
2.15.1)",NA,"RMariaDB, org.Mm.eg.db, org.Hs.eg.db, BSgenome,
BSgenome.Hsapiens.UCSC.hg19 (>= 1.3.17),
BSgenome.Celegans.UCSC.ce11, BSgenome.Dmelanogaster.UCSC.dm3
(>= 1.3.17), mirbase.db, FDb.UCSC.tRNAs,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Celegans.UCSC.ce11.ensGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene (>= 2.7.1),
TxDb.Mmusculus.UCSC.mm10.knownGene (>= 3.4.7),
TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,
TxDb.Hsapiens.UCSC.hg38.knownGene (>= 3.4.6),
SNPlocs.Hsapiens.dbSNP144.GRCh38, Rsamtools, pasillaBamSubset
(>= 0.0.5), GenomicAlignments (>= 1.15.7), ensembldb,
AnnotationFilter, RUnit, BiocStyle, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"GenomicRanges","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.54.1",NA,"R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.27.12), IRanges (>= 2.31.2), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.29.2)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGGREST, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.2"
"gert","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.0.1",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"GetoptLong","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.5",NA,"R (>= 3.3.0)","rjson, GlobalOptions (>= 0.1.0), methods, crayon",NA,"testthat (>= 1.0.0), knitr, markdown, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"ggalluvial","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.12.5",NA,"R (>= 3.6), ggplot2 (>= 2.2)","stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect",NA,"grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, shiny (>= 1.4.0.2), htmltools, sp (>=
1.4-0), ggfittext (>= 0.6), vdiffr (>= 0.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.2"
"ggforce","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.4.2",NA,"ggplot2 (>= 3.3.6), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils, lifecycle, cli, vctrs, systemfonts","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, latex2exp, reshape2, units
(>= 0.4-6), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"ggnetwork","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.5.13",NA,"R (>= 3.5), ggplot2 (>= 2.0.0)","ggrepel (>= 0.5), network, igraph, sna, utils",NA,"knitr, rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.2"
"ggnewscale","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.4.10",NA,NA,"ggplot2 (>= 3.0.0)",NA,"testthat, vdiffr, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.2"
"ggplot2","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","3.5.0",NA,"R (>= 3.5)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.3.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, mapproj,
maps, multcomp, munsell, nlme, profvis, quantreg, ragg (>=
1.2.6), RColorBrewer, rmarkdown, rpart, sf (>= 0.7-3), svglite
(>= 2.1.2), testthat (>= 3.1.2), vdiffr (>= 1.0.6), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"ggpubr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.6.0",NA,"R (>= 3.1.0), ggplot2 (>= 3.4.0)","ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=
0.7.2), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"ggrepel","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.9.5",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra, ggpp,
patchwork, devtools, prettydoc, ggbeeswarm, dplyr, magrittr,
readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"ggridges","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.5.6",NA,"R (>= 3.2)","ggplot2 (>= 3.4.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"ggsci","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","3.0.3",NA,"R (>= 3.5.0)","ggplot2 (>= 2.0.0), grDevices, scales",NA,"gridExtra, knitr, ragg, reshape2, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.2"
"ggsignif","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.6.4",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"gh","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.4.0",NA,"R (>= 3.4)","cli (>= 3.0.1), gitcreds, httr2, ini, jsonlite, rlang (>=
1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"gitcreds","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"GlobalOptions","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.1.2",NA,"R (>= 3.3.0), methods","utils",NA,"testthat (>= 1.0.0), knitr, markdown, GetoptLong",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
